Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
Search Coil Magnetometer's Temperature(Deg C),20,0.12206626,0.24005229402599423,1.0000000000000002,IBS_R
Solar Array's Angle(Deg C),20,0.01656282,0.032572005864188985,1.0000000000000002,IBS_R
Electronic Box Temperature(DegC),40,0.28381962,0.4556411148212507,1.0,IBS_R
Solar Wind Analyser temperature(DegC),40,0.01612683,0.025889847924300623,1.0,IBS_R
Out Board Sensor Temperature(Deg C),40,0.088427305,0.14196029094408186,1.0,IBS_R
In Board Sensor Temperature(Deg C),40,0.10208729,0.16388989113818248,1.0,IBS_R
Search Coil Magnetometer's Temperature(Deg C),40,0.09761495,0.1567100422487376,1.0,IBS_R
Solar Array's Angle(Deg C),40,0.034825694,0.05590881292344673,1.0,IBS_R
Electronic Box Temperature(DegC),60,0.30759445,0.49277408262994515,0.9999999999999999,IBS_R
Solar Wind Analyser temperature(DegC),60,0.018666044,0.029903474228583096,0.9999999999999999,IBS_R
Out Board Sensor Temperature(Deg C),60,0.11663696,0.18685535764623062,0.9999999999999999,IBS_R
In Board Sensor Temperature(Deg C),60,0.088365585,0.1415639004033832,0.9999999999999999,IBS_R
Search Coil Magnetometer's Temperature(Deg C),60,0.031474173,0.05042242058207223,0.9999999999999999,IBS_R
Solar Array's Angle(Deg C),60,0.061472666,0.0984807645097856,0.9999999999999999,IBS_R
Electronic Box Temperature(DegC),80,0.3110956,0.4825140087965611,1.0,IBS_R
Solar Wind Analyser temperature(DegC),80,0.020044424,0.031089206591986517,1.0,IBS_R
Out Board Sensor Temperature(Deg C),80,0.11400333,0.17682089934559425,1.0,IBS_R
In Board Sensor Temperature(Deg C),80,0.0863046,0.1338597476903681,1.0,IBS_R
Search Coil Magnetometer's Temperature(Deg C),80,0.070115864,0.10875077184915016,1.0,IBS_R
Solar Array's Angle(Deg C),80,0.043175183,0.06696536572633985,1.0,IBS_R
Electronic Box Temperature(DegC),100,0.2820434,0.4642658684453895,1.0,IBS_R
Solar Wind Analyser temperature(DegC),100,0.024130354,0.03972048186805533,1.0,IBS_R
Out Board Sensor Temperature(Deg C),100,0.09180332,0.15111556620708014,1.0,IBS_R
In Board Sensor Temperature(Deg C),100,0.09587662,0.15782054197300344,1.0,IBS_R
Search Coil Magnetometer's Temperature(Deg C),100,0.057133704,0.09404662085715114,1.0,IBS_R
Solar Array's Angle(Deg C),100,0.056516662,0.09303092064932043,1.0,IBS_R
Electronic Box Temperature(DegC),120,0.20503293,0.3674635058869301,0.9999999999999999,IBS_R
Solar Wind Analyser temperature(DegC),120,0.023252603,0.04167371075161901,0.9999999999999999,IBS_R
Out Board Sensor Temperature(Deg C),120,0.06421909,0.11509454581889991,0.9999999999999999,IBS_R
In Board Sensor Temperature(Deg C),120,0.07557844,0.1354529661740921,0.9999999999999999,IBS_R
Search Coil Magnetometer's Temperature(Deg C),120,0.03614338,0.06477678063423058,0.9999999999999999,IBS_R
Solar Array's Angle(Deg C),120,0.1537417,0.27553849073422815,0.9999999999999999,IBS_R
Electronic Box Temperature(DegC),140,0.09134178,0.22193240045062526,1.0,IBS_R
Solar Wind Analyser temperature(DegC),140,0.0251895,0.06120272892810963,1.0,IBS_R
Out Board Sensor Temperature(Deg C),140,0.05463058,0.13273548815678785,1.0,IBS_R
In Board Sensor Temperature(Deg C),140,0.06592426,0.16017565313190893,1.0,IBS_R
Search Coil Magnetometer's Temperature(Deg C),140,0.091868185,0.2232114025158271,1.0,IBS_R
Solar Array's Angle(Deg C),140,0.08262048,0.2007423268167412,1.0,IBS_R
Electronic Box Temperature(DegC),160,0.14637569,0.24125527228669358,0.9999999999999999,IBS_R
Solar Wind Analyser temperature(DegC),160,0.01569295,0.02586499797358064,0.9999999999999999,IBS_R
Out Board Sensor Temperature(Deg C),160,0.054677617,0.09011922251107779,0.9999999999999999,IBS_R
In Board Sensor Temperature(Deg C),160,0.08278274,0.1364418673574728,0.9999999999999999,IBS_R
Search Coil Magnetometer's Temperature(Deg C),160,0.050318215,0.08293409008562411,0.9999999999999999,IBS_R
Solar Array's Angle(Deg C),160,0.25687814,0.423384549785551,0.9999999999999999,IBS_R
Electronic Box Temperature(DegC),180,0.1074968,0.16939384616509984,1.0,IBS_R
Solar Wind Analyser temperature(DegC),180,0.016024489,0.025251447713237365,1.0,IBS_R
Out Board Sensor Temperature(Deg C),180,0.030550774,0.048142020145536715,1.0,IBS_R
In Board Sensor Temperature(Deg C),180,0.12286128,0.19360524930944228,1.0,IBS_R
Search Coil Magnetometer's Temperature(Deg C),180,0.12249172,0.193022895325056,1.0,IBS_R
Solar Array's Angle(Deg C),180,0.23517178,0.3705845413416278,1.0,IBS_R
