Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),Date
-1.3569994511490222,-0.08342342789750547,0.3398664046009071,-0.0069039802555926144,0.19150846804492175,0.036491045001894235,-0.23588063081377186,-0.30914461564156226,2022-01-01
-0.8692716661677696,-0.05129307940136641,0.08025445699924603,0.3711118872836232,0.25207330024801194,0.1459652186697349,-0.17244748984463512,-0.3636272034130525,2022-01-02
-0.8818242444877978,-0.07036828694399447,0.3711086552240886,0.01452712852274999,0.25712971329223366,0.062279500323347746,-0.12998862427775748,-0.31345738148433155,2022-01-03
-0.8061454887955916,-0.07525838677771389,0.4133568842406385,-0.006726993548218161,0.26941209686454387,0.08226076735649258,-0.13420240843784995,-0.2582386679167394,2022-01-04
-0.8056951732281595,-0.7063253583223559,0.364417458481621,0.030211509249638765,0.28312642065109683,0.009827591800130904,-0.07799892748706043,-0.2587035460874904,2022-01-05
-0.7616066621057689,-0.6851446814485825,0.3719858552399091,0.03348003539023921,0.2580698598478921,0.011839776318520307,-0.09326456290669739,-0.2265501779981423,2022-01-06
-0.8007482585497201,-0.684795658804942,0.3739734713616781,0.057331535711418836,0.2581844250182621,0.018856283761560916,-0.06604090047068895,-0.2279514379950706,2022-01-07
-0.5722617317573168,-0.6978085620165803,0.33670531479408966,0.22680106410058215,0.26881062348606066,0.06645450172014535,0.009242775277234614,-0.20609309409861454,2022-01-08
-0.6148823210387491,-0.6042023099493236,-2.02850062366575,-0.6337079981318675,0.016070340115111322,-0.10553753206972033,-0.22956565542612226,-0.13549902018741705,2022-01-09
-0.7087462094961665,-1.8455944642913529,-1.4312851752247662,-1.1913515061931685,0.11290745794191025,-0.20198422452434897,-0.20565184445353224,-0.2489709046599455,2022-01-10
-0.6067271422641352,-1.9149088659416884,-1.4075203809165395,-1.2166499834880233,0.03729879037477076,-0.24218220352660866,-0.37027094293851404,0.17054364733397961,2022-01-11
-0.4333786302502267,-1.3311734999413602,-0.35453348139766605,0.24354596546385437,0.02725223382236436,0.11589365587104111,-0.1884753146546427,-0.2572811292053666,2022-01-12
-0.3514385123271495,-0.6986582742747851,0.35119202490663154,0.35109891555737704,0.1538617519638501,0.18030090615618974,-0.039791443194262685,-0.1911119322280865,2022-01-13
-0.1459255758509971,-0.7025252382084727,0.36365500489016994,0.23316253246739507,0.16397400094661863,0.1555383121035993,0.0807248579384759,-0.18070486031123437,2022-01-14
-0.002340207442175597,-0.7153470643796027,0.37132150646997614,0.25263347793370483,0.07439509297721088,0.14036755552515387,0.08446911229286343,-0.16691976137110032,2022-01-15
0.000296427954453975,-0.7209325619228184,0.3740904956893064,0.33438525701407346,0.047297557764686644,0.15036455826833844,0.06806443415116518,-0.1680230116157327,2022-01-16
0.043744880533777175,-1.2332149320840835,0.3451202942244709,0.3191861090483144,0.2013534795679152,0.09835859000682831,-0.03651141868438572,-0.21447455875459126,2022-01-17
0.032370048246812076,-0.7088429447659291,0.393169647261966,0.29150888935197145,0.276691137640737,0.17491967579815537,0.15387043189723046,-0.23904762708232738,2022-01-18
0.20371748413774185,-0.12602128016063943,0.4465383621025831,0.3689386859536171,0.26907130173873156,0.3006455651530996,0.1739351265435107,-0.17130382979405112,2022-01-19
0.22829598068143242,-0.03692285050405189,0.4416438880143687,0.4009781817160547,0.26387171855196356,0.2623412056034431,0.05420657589333132,-0.1655898597079795,2022-01-20
0.20901549356873148,0.14785416752332822,0.4219749280042015,0.40637453759321945,0.18399302737321704,0.2297492956276983,0.0010025481856428087,-0.14949441288947127,2022-01-21
0.2249059627216775,-0.015275054280646145,0.40904748514294625,0.43330417715944347,0.1789816186390817,0.15931783560663462,-0.014268125088419766,-0.14908306941739283,2022-01-22
0.19582864432712085,0.00656623749062419,0.4507335728639737,0.3983341645961627,0.2124607655405998,0.2461140534747392,0.028649787583854048,-0.1419470516068395,2022-01-23
0.08201833200524561,-0.0275980488746427,0.43797543393447996,0.42676682056859133,0.27967671674210576,0.16689423982985319,0.07347404466709122,-0.12707958697341382,2022-01-24
-0.07277390977949835,0.058458856805227694,0.4315369514958002,0.3546125966263935,-0.29613644736818967,-0.08813372640870512,0.07662741221953183,-0.11918342291144654,2022-01-25
-0.06234678875771351,-0.015123219485394657,0.0493578115850687,0.29006291542435064,-0.5304192842589691,-0.07842593908542767,0.11552961506531574,-0.11003502074629068,2022-01-26
0.05409110273583792,0.07327792941825464,0.3525256808567792,0.3632103443634696,-0.5053149974904955,-0.07352870495757088,0.08256259895628318,-0.13596958454232663,2022-01-27
0.12045726599521003,0.07766968364128843,0.31406557783484457,0.3652154377964325,-0.42054754599928856,-0.05001747579080984,0.09666367597645148,-0.0891048179520294,2022-01-28
0.14426378224859945,0.08484974380815402,0.14023785893339663,0.325568671731744,-0.3577637676848099,-0.03466813925653696,0.06105914185056463,-0.0979716137656942,2022-01-29
0.09603934273938648,0.13035174225224183,0.4206563396961428,0.40790082729188726,-0.28299360077362506,-0.04857152031967416,0.0007904140348546207,-0.15669841349357738,2022-01-30
0.0910543407255318,0.01045761745190248,0.4485337550495751,0.3900380882830359,-0.20366359675535933,-0.04139514301437885,-0.01988536853576079,-0.18413978308672085,2022-01-31
0.2223567051056307,0.044735117077361795,0.4405287435417995,0.3595422529685311,0.19974443642655387,-0.030399038554169238,-0.02493608578108251,-0.2181534916930832,2022-02-01
