Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Out Board Sensor Temperature(DegC),In Board Sensor Temperature(DegC),Search Coil Magnetometers Temperature(DegC),Solar Array Angle(Deg),High Gain Antenna azimuth(Deg),High Gain Antenna Elevation(Deg),anomaly_score
2022-08-25,0.531764307974045,4.75146490766312,-86.498205202853,-75.9947311387531,-112.536612968868,29.8000214389258,-161.478368111366,-91.7452546556951,0.1271566741280828
2022-08-26,0.51559542866695,4.82452194209689,-86.5079831696553,-76.1671460570016,-112.364590776109,29.8000214389258,-161.449782200305,-91.7543226680163,0.12916446607240167
2022-08-27,0.499419047249801,4.91162840622945,-86.8599899745394,-76.6742487577325,-112.176920893708,29.8000214389258,-161.436517067278,-91.7619143924822,0.11188208686717371
2022-08-28,0.483251841086606,4.45361699804855,-86.4590933356436,-76.4308394613817,-111.977156518326,29.8000214389258,-161.431392975129,-91.7719737492645,0.12863331229706032
2022-08-29,0.467110700009892,4.78518353894025,-86.4786492692483,-76.6641067037179,-111.758774828572,29.8000214389258,-161.413255138736,-91.752896066824,0.11663680434940082
2022-08-30,0.451012705291011,5.1860776697343,-86.7622103065161,-77.1103570803611,-111.567121824284,29.8000214389258,-161.460013218466,-91.786934038404,0.10296366905179005
2022-08-31,0.434975096264548,5.32684220804173,-86.4199814684343,-76.9075160000687,-111.471483308057,29.8000214389258,-161.497894593175,-91.7918521368991,0.09515020898135151
2022-09-01,0.419015206355563,4.79361319675952,-86.1461983979689,-74.2604399022534,-114.495964201868,55.890920576791,-161.542882748955,-91.797444006305,0.12430467325172329
2022-09-02,0.403150290808621,4.53791357624135,-85.7257458254685,-72.5870009898413,-115.554493827745,55.890920576791,-161.750125239729,-91.388495104215,0.10827310664058637
2022-09-03,0.387396806291527,4.72617593420528,-86.1559763647712,-72.6072850978706,-115.151511355126,55.890920576791,-168.980775350185,-75.125774941678,0.05132422378798224
2022-09-04,0.371755303033516,3.41114931439755,-86.3906475680273,-73.073819582543,-113.647013927444,55.8545569542992,-170.271760850762,-74.475604990683,0.05363616674356175
2022-09-05,0.356799298197267,4.79923296863904,-86.1413094145678,-72.9115467183091,-114.360137487139,55.8545569542992,-170.347738176902,-74.5252408782872,0.06457403132701095
2022-09-06,0.34203249203119,4.95658658126561,-86.1021975473585,-72.2675262883809,-114.738794309731,59.9091008621347,-170.470197112816,-74.6253495027158,0.05383786690983361
2022-09-07,0.327371253080828,4.91724817810897,-86.1119755141608,-71.9784777489642,-114.801861122071,59.9091008621347,-170.569546135645,-74.7182740984526,0.05162192055105064
2022-09-08,0.312834408408277,4.98328049769333,-86.1021975473585,-71.9835487759715,-114.901991463017,59.9091008621347,-162.44687731754,-89.8719140317149,0.13463085170783784
2022-09-09,0.298442133382954,5.16006683113401,-86.0973085639573,-72.1813188292566,-115.07022045592,59.9091008621347,-162.450765447763,-90.2135459242115,0.13553410403282512
2022-09-10,0.284215044967603,5.29930132011201,-86.1168644975619,-72.303023477432,-114.934992489075,59.9091008621347,-162.718308289283,-90.1629701905598,0.13316427325053998
2022-09-11,0.270173989710116,5.45230625305489,-85.6866339582592,-72.0951113701323,-114.745683137778,59.9091008621347,-162.935580096099,-90.1283975889223,0.13034251327598945
2022-09-12,0.256339950910448,5.58695059404462,-86.1070865307596,-72.581929962834,-114.513733846871,59.9091008621347,-163.260655248635,-90.0788389489386,0.13952778351334444
2022-09-13,0.242733985473794,5.71241463905777,-86.1657543315736,-72.7695579621044,-114.26471704673,59.9091008621347,-163.584678975228,-90.0359150212352,0.1388497700339812
2022-09-14,0.229377169024163,6.19591022715724,-86.063085680149,-72.8101261781629,-114.005349228444,59.9091008621347,-164.03111872239,-89.9846354759316,0.13968835593039058
2022-09-15,0.216290539911552,6.33361466680582,-86.0777526303526,-72.9673280153895,-113.711514845107,59.9091008621347,-164.362317894606,-89.9513846669089,0.13838400777192994
2022-09-16,0.203495040410777,6.49273979706641,-86.0973085639573,-73.2107373117403,-113.407344496843,59.9091008621347,-164.690957500532,-89.8910567552058,0.1355212877836222
2022-09-17,0.191011452366239,6.65492502598585,-86.4737602858472,-73.7482661745151,-113.068327025518,59.9091008621347,-165.363983496045,-89.85951578865,0.1265124128623964
2022-09-18,0.178860326173129,6.89055262271787,-86.4542043522424,-73.8953259577271,-112.712629332607,59.9091008621347,-165.940933097775,-89.8110042830753,0.12335786207433608
2022-09-19,0.16706190174823,6.12399790867409,-86.5030941862542,-72.7036346110095,-113.080971973127,59.9091008621347,-166.563188428836,-89.7693291919009,0.12550078303960982
2022-09-20,0.155636020346429,6.35503535741783,-86.1510873813701,-70.8273546183051,-113.54624832055,69.9818242923629,-167.346044042372,-89.6898696195599,0.13521651104028615
2022-09-21,0.144602027118555,6.90891321467102,-86.0826416137538,-70.6143714839981,-113.371544373855,69.9818242923629,-168.38731373559,-89.6564575439779,0.13274610346736593
2022-09-22,0.13397866386184,7.24093391915705,-86.0924195805561,-70.6650817540712,-113.000364516408,69.9818242923629,-169.342107197619,-89.6064225436688,0.1351838100557638
2022-09-23,0.123783947991816,7.4888019105245,-86.0924195805561,-70.76143126721,-112.568121869326,69.9818242923629,-169.393017670959,-89.6039205790766,0.1385912182364339
2022-09-24,0.114035040123703,7.81470241769281,-86.4590933356436,-71.2279657518825,-112.109794252802,70.0181879148546,-171.580708902852,-89.5041681520084,0.1338114203088312
2022-09-25,0.104748098691087,8.12989257955512,-86.9626586259639,-71.8719861818107,-111.59899718313,69.9818242923629,-172.895609313242,-89.4523221241556,0.12278666088847967
2022-09-26,0.0959381219649722,8.5016945666063,-86.4444263854402,-71.5170142912991,-111.078457731344,69.9818242923629,-174.359425969514,-89.4004803878373,0.11960682899266051
2022-09-27,0.087618777906545,8.73273201535003,-86.4542043522424,-71.1620424007874,-110.865906073245,72.9454595254444,-175.991316281512,-89.34663021339,0.09942564954894723
2022-09-28,0.0798022235442307,9.08770345977749,-86.7817662401207,-71.3445993730506,-110.408346302376,72.9454595254444,-176.007218896483,-89.3202826715685,0.08473271250814568
2022-09-29,0.0724989182819482,9.5681389492181,-86.7817662401207,-71.3750255350945,-109.808136056657,72.9454595254444,-176.007218896483,-89.3202826715685,0.07523394635906733
2022-09-30,0.0657174351581563,10.1740531577932,-86.9088798085511,-71.5220853183064,-109.170018196682,72.9454595254444,-176.007218896483,-89.3202826715685,0.05305363227448817
2022-10-01,0.0594642797531394,10.3614780390446,-86.7182094559056,-71.0707639146559,-108.848198289762,76.9090943770504,-167.246512336846,-88.9685331525577,0.07176093409833645
2022-10-02,0.0537437284638406,10.957522931673,-87.0066594765744,-71.3800965621018,-108.258677980372,76.9090943770504,175.326610752918,-88.955126398894,0.014316358783252991
2022-10-03,0.048557704757033,11.2766517835335,-87.1239950782025,-71.6082927774307,-107.523175161267,76.9090943770504,172.541928453351,-88.7981463597558,0.024889582996649118
2022-10-04,0.0439057142536646,8.0595103104014,-87.402667132069,-72.0089039110081,-106.815727175975,76.9636398107881,169.460615291671,-88.6429988058336,0.049866356153694724
2022-10-05,0.0397848679808262,8.44814284007629,-87.4222230656737,-72.1965319102785,-106.168928848089,76.9636398107881,163.072026804208,-88.8830114537703,0.04583381442992851
2022-10-06,0.0361900255959301,9.57425914653582,-87.4613349328831,-72.2320290993297,-105.531960033741,76.981821622034,159.499088329,-88.8215652633228,0.03956667058224084
2022-10-07,0.0331140906634399,9.88179906175099,-87.6177824017205,-72.4145860715928,-105.073076954402,78.9818208590829,154.829139231179,-88.746012799094,0.03731265752829638
2022-10-08,0.0305484836467366,11.1280626884874,-87.7888968207613,-72.3993729905709,-104.599158259065,78.9818208590829,150.301887945801,-88.6744385873127,0.03643388385629465
2022-10-09,0.0284838000023606,11.7359271682217,-87.7791188539589,-72.1914608832712,-104.230167578594,78.9818208590829,145.364807993769,-88.5972725061257,0.029913416645576785
2022-10-10,0.0269106308668111,12.2830051999826,-87.7986747875636,-71.8517020737816,-104.031976267973,78.9818208590829,138.552018490733,-88.4917737144109,0.013765466701282758
2022-10-11,0.0258204829572323,12.5531671909756,-87.7888968207613,-71.4865881292553,-103.994700356526,78.9818208590829,138.265498483816,-88.4873019355,-0.0016225478548537176
2022-10-12,0.0252066920276009,12.809821082419,-87.7106730863426,-70.7310051051662,-104.295156615648,78.9818208590829,127.375412209291,-88.3118983389104,0.00933483359605325
2022-10-13,0.0250651937458345,12.826706206856,-87.5933374847146,-70.2340444584499,-104.592729349224,78.9818208590829,123.969556045347,-88.2545891876856,0.018388324504781894
2022-10-14,0.0253950171370366,11.6633211331423,-87.3880001818655,-69.3719698672073,-105.153689856834,78.9818208590829,123.669187256717,-88.2497097130007,0.05282549897734473
2022-10-15,0.0261984052035754,11.0875383898384,-87.0408823603826,-68.4236878168406,-106.175648859006,78.9818208590829,115.094851602473,-88.1120029551379,0.05926010379473373
2022-10-16,0.0274805378388289,10.520198208753,-87.0066594765744,-67.5261160365468,-107.275960792354,78.9818208590829,109.488914546642,-88.0118943307092,0.07109757826483437
