Feature,Duration,SHAP_value,Normalized_Importance,Sum_Normalized_Importance,Type
High Gain Antenna Azimuth,80,0.105777055,0.10577705531733117,1.0,IBS_N
High Gain Antenna elevation,80,0.10012401,0.10012401030037203,1.0,IBS_N
Radial Distance from Sun,90,0.06959057,0.06959057675028593,0.9999999999999998,IBS_N
Electronic Box Temperature,90,0.1153097,0.11530971118504196,0.9999999999999998,IBS_N
Solar Wind Analyser temperature,90,0.060322024,0.060322029851236886,0.9999999999999998,IBS_N
Out Board Sensor Temperature,90,0.0825551,0.08255510800784546,0.9999999999999998,IBS_N
Out Board Sensor minus In Board Sensor Temp.,90,0.086492985,0.08649299338982033,0.9999999999999998,IBS_N
Heater Dutycycle,90,0.17372583,0.1737258468514071,0.9999999999999998,IBS_N
Search Coil Magnetometer's Temperature,90,0.057547644,0.057547649582122,0.9999999999999998,IBS_N
Solar Array's Angle,90,0.08683614,0.08683614842310639,0.9999999999999998,IBS_N
High Gain Antenna Azimuth,90,0.16481082,0.16481083598665106,0.9999999999999998,IBS_N
High Gain Antenna elevation,90,0.10280909,0.10280909997248268,0.9999999999999998,IBS_N
Radial Distance from Sun,100,0.07510574,0.07510573354090692,1.0,IBS_N
Electronic Box Temperature,100,0.09810855,0.09810854156266542,1.0,IBS_N
Solar Wind Analyser temperature,100,0.03983972,0.03983971657378438,1.0,IBS_N
In Board Sensor Temperature,100,0.06664021,0.06664020426894243,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,100,0.19884527,0.19884525289930824,1.0,IBS_N
Heater Dutycycle,100,0.16645724,0.1664572256846786,1.0,IBS_N
Search Coil Magnetometer's Temperature,100,0.066311166,0.06631116029724021,1.0,IBS_N
Solar Array's Angle,100,0.09499003,0.09499002183085813,1.0,IBS_N
High Gain Antenna Azimuth,100,0.09039073,0.0903907222263979,1.0,IBS_N
High Gain Antenna elevation,100,0.10331143,0.10331142111521778,1.0,IBS_N
Radial Distance from Sun,110,0.07337929,0.07337929110068937,1.0,IBS_N
Electronic Box Temperature,110,0.10294378,0.10294378154415672,1.0,IBS_N
Solar Wind Analyser temperature,110,0.047715895,0.047715895715738435,1.0,IBS_N
Out Board Sensor Temperature,110,0.050225504,0.05022550475338257,1.0,IBS_N
Out Board Sensor minus In Board Sensor Temp.,110,0.121470906,0.12147090782206363,1.0,IBS_N
