Date,Radial Distance from Sun(AU),Electronic Box Temperature(DegC),Solar Wind Analyser temperature(DegC),Out Board Sensor Temperature(Deg C),In Board Sensor Temperature(Deg C),Out Board Sensor minus In Board Sensor Temp.(DegC),Heater Dutycycle,Search Coil Magnetometer's Temperature(Deg C),Solar Array's Angle(Deg),High Gain Antenna Azimuth(Deg),High Gain Antenna elevation(Deg),In Board Sensor Readings-along R(nT),In Board Sensor Readings-along T(nT),In Board Sensor Readings-along N(nT),Out Board Sensor Readings-along R(nT),Out Board Sensor Readings-along T(nT),Out Board Sensor Readings-along N(nT),25V_Electroic_Box,33V_Electronic_Box
2021-11-09,0.67784264140912,3.70618733807236,-7.49638697069071,-86.4835382526495,-75.8426003285338,-10.6409379241157,7.05555555555556,-112.755971769306,30.0545667963683,-5.27101975339169,-103.232044465086,-0.0121663418746536,0.111659790656257,0.0262866787328274,-0.023774226153216,0.248696249008687,-0.0747222771860268,2.51417019558361,3.267795789916416
2021-11-10,0.692695859934638,3.64436984739763,-7.49638697069071,-86.4737602858472,-75.7259667073657,-10.7477935784815,7.08333333333333,-112.893399804554,30.0545667963683,-6.42239124305316,-102.898042920866,-0.008423570539319,0.0872950524426804,0.0603591543347889,-0.0213056766705216,0.215373180395955,-0.0436954000460333,2.5140839273005664,3.2680110197867887
2021-11-11,0.707667270560848,3.6471797333374,-7.53563533333414,-86.4737602858472,-75.5941200051757,-10.8796402806715,7.22222222222222,-113.029281257063,30.0545667963683,-6.99015696103161,-102.733145000642,0.0088628858851784,0.113096046585443,0.112868426481768,-0.0029311360647926,0.227481406161229,0.026372742441636,2.514072238482984,3.268107702171697
2021-11-12,0.722749984457403,3.56007326920484,-7.52442151543602,-86.3906475680273,-75.0312360073643,-11.359411560663,7.22222222222222,-112.476628430579,0.0545782406347683,-8.00703424039287,-102.399849747858,-0.0263710613475465,0.110476978439745,0.0980961283495757,-0.0216100650012209,0.213547459247512,-0.0103774866109038,2.513937502823878,3.2677973646690965
2021-11-13,0.737937087240137,3.45891737537347,-7.4683524259454,-86.4346484186379,-75.0160229263424,-11.4186254922954,6.47222222222222,-110.844918291986,0.0545782406347683,-9.53635439893088,-101.975629086363,-0.0761107827060006,0.0956837512516288,0.107539101394445,-0.059866229065277,0.185750983166052,-0.0266285697277279,2.5136931350897984,3.2670351443981325
2021-11-14,0.753221646652054,3.4280086300361,-7.50199387963977,-86.6008738542776,-75.1681537365617,-11.4327201177159,6.30555555555556,-110.682527104353,0.0545782406347683,-10.5836647609229,-101.660166971025,-0.123969938712608,0.0849464055906256,0.112593130144919,-0.0797348091435782,0.164951013811927,-0.0438206543291968,2.513622817571672,3.2670743643355347
2021-11-15,0.768596717268832,3.47577669101203,-7.45153169909821,-86.8111001405277,-75.2847873577298,-11.5263127827979,6.38888888888889,-110.766009897995,0.0545782406347683,-11.6590932567193,-101.330019224752,-0.122868009824032,0.139077093285518,0.132721719625049,-0.0821600391433184,0.234673896186706,0.0097909264790721,2.513757372263932,3.267575920343618
2021-11-16,0.78405534949938,3.38305045499995,-7.51881460648696,-86.4590933356436,-74.8689631431304,-11.5901301925132,6.47222222222222,-110.943071838797,0.0545782406347683,-12.1874884375301,-101.167670476,-0.0527364869646173,0.144572633743944,-0.0921522374771038,-0.0588430516584563,0.307766670303259,-0.0792263204889647,2.513520594667476,3.2677554807361155
2021-11-17,0.799590600358528,3.38867022687946,-7.49078006174165,-86.4542043522424,-74.7726136299916,-11.6815907222508,6.52777777777778,-111.09576965574,0.0545782406347683,-13.3615535614343,-100.802920087349,0.0113502012816961,0.110858287654111,-0.129565923693949,-0.0428667336444911,0.25142121114911,-0.0712239387583193,2.515888592707832,3.267486596645605
2021-11-18,0.815195544522689,3.31280330650594,-7.41228333645478,-86.410203501632,-74.6001987117431,-11.8100047898889,6.66666666666667,-111.238752319136,0.0545782406347683,-14.1125892586738,-100.567379218324,-0.0014375867011596,0.0619602529213734,-0.087993717210739,-0.066249901967643,0.173090706221252,-0.0663000182059811,2.5133888943211,3.267136891020864
2021-11-19,0.830863290697489,3.23693638613242,-7.50760078858884,-85.9408610951199,-74.0221016329098,-11.9187594622101,6.66666666666667,-111.380776536892,0.0545782406347683,-15.0904693643659,-100.224041774894,6.393866243132848e-05,0.239473234591295,0.110369388451752,-0.0076685891941882,0.273584545140202,0.0749306137969966,2.513275933132233,3.2671043675524367
2021-11-20,0.846587005266652,3.13859037824081,-7.26089679483013,-85.8186365100907,-73.844615687654,-11.9740208224367,48.1666666666667,-111.512236069738,0.0545782406347683,-16.378274837905,-99.8446762316115,-0.0408049842090282,0.205189337847356,0.136565653641381,-0.0033697811834251,0.219735401816771,0.131725324998345,2.5132101054406024,3.266930538771932
2021-11-21,0.862359950241137,0.98902763432433,-7.16557934269611,-49.8326748344358,-38.7207733404829,-11.1119014939529,20.0833333333333,-111.021038124288,0.0545782406347683,-17.0243996836514,-99.5884930818165,-0.0908229652603751,0.191102852860767,0.11069154685772,0.0203809633597044,0.246801422071376,0.143937172377994,2.5109502772457875,3.264087710242769
2021-11-22,0.878175570562169,2.35041737213811,-7.51320769753789,-86.8942128583475,-75.0616621694082,-11.8325506889394,6.83333333333333,-111.386282153615,0.0545782406347683,-18.3715381009314,-99.1953541926898,-0.161390884867062,0.200632594623384,0.110771584904451,-0.013320149544756,0.249280940476923,0.104629862645372,2.5116688906683966,3.264579025752571
2021-11-23,0.894027574242966,1.81934892952344,-7.50199387963977,-86.4884272360507,-74.4227127664873,-12.0657144695634,7.02777777777778,-111.869311528258,0.0545782406347683,-19.2926601835605,-98.8883635663822,-0.0961495007803244,0.233321182614459,0.059028594394227,0.0256762236602465,0.239147497424268,0.118382141437141,2.511035051756522,3.2648346430365063
2021-11-24,0.909910302416827,1.20398390871598,-6.99737207422424,-53.6226898313734,-42.8090736351249,-10.8136161962485,41.25,-112.12993794841,0.0545782406347683,-19.7531761637632,-98.7347137579877,-0.0469933857288053,0.260672906754413,0.0109019886325329,0.0438191810928008,0.249139181910579,0.112997439663854,2.5107726942945563,3.2639595782276327
2021-11-25,0.925819639657134,1.12109227349305,-7.10390334425643,-85.6426331076487,-73.8750418496979,-11.7675912579508,20.0,-111.017563758838,0.0363964293888586,-20.8878664589652,-98.3511879060591,-0.0256886635954197,0.266576292922785,0.0095999777496277,0.041730988323527,0.326410356381493,0.102695126049862,2.5090008811956817,3.264776412755211
2021-11-26,0.941756874061477,1.3009249736377,-7.01979971002049,-86.52753910326,-74.3010081183118,-12.2265309849482,7.08333333333333,-111.835571915047,0.0363964293888586,-22.1995224693016,-97.8981821111675,-0.0286483688527549,0.282558705917971,0.0363528185619214,-0.0011167129079781,0.504129407319093,0.045990776122306,2.509899120447201,3.2648488566587948
2021-11-27,0.957775596391079,0.781096074782077,-7.03101352791862,-86.7230984393067,-74.6255538467796,-12.0975445925271,7.0,-110.950499792517,0.0545782406347683,120.032764153726,-98.245324333915,0.0605479756061115,0.0861017857929425,0.107765618382927,-0.139900877415407,0.337730691934592,-0.0259804008957729,2.5090566694120406,3.2642118911872915
2021-11-28,0.967952383257151,1.33464360491482,-7.50199387963977,-86.410203501632,-73.7533372015224,-12.6568663001096,7.69444444444444,-112.486649039167,0.0545782406347683,120.279093898858,-98.6085812685728,0.0786708322829178,0.0474746946694904,-0.0361864991465084,-0.130654044121113,0.351504835697292,-0.0330716651120548,2.510072786413907,3.265036150348162
2021-11-29,0.975970784625886,1.24191736890274,-7.4683524259454,-86.3417577340156,-73.4693596891131,-12.8723980449025,7.77777777777778,-113.060106087961,0.0545782406347683,119.378935962083,-98.82335540233,0.0183261977433109,0.0046068610987798,-0.0204111092425399,-0.194351437997952,0.299929161668651,-0.0223263608183601,2.509798448322851,3.265280155786805
2021-11-30,0.983568088821976,1.29530520175818,-7.47395933489446,-86.1853102651783,-73.2462345007915,-12.9390757643868,7.86111111111111,-113.817983996999,0.0545782406347683,118.914531851656,-98.9116708900531,0.027012100100243,0.0117059506719288,-0.033929646805625,-0.176515072175288,0.278366623445594,-0.0540731714010114,2.509901235396428,3.2651786064846826
2021-12-01,0.990746623244143,1.30373485957746,-7.4683524259454,-86.1853102651783,-73.2462345007915,-12.9390757643868,7.91666666666667,-114.108305894889,0.0545782406347683,118.323978085677,-99.0235469019805,0.0641109158499031,0.09023884826979,-0.0233459913730447,-0.0849502717782549,0.391021617835719,-0.0324903948673664,2.5098936734856334,3.265101918900497
2021-12-02,0.997503320429615,1.29530520175818,-7.44592479014915,-86.1364204311666,-73.1803111496965,-12.9561092814701,23.5833333333333,-114.158074273956,0.0545782406347683,117.640203608083,-99.1465208220303,0.0492480111506253,0.184197278631196,-0.0201396276289341,0.105740655139171,0.427264120263606,0.0805549635066786,2.509930205277878,3.265254800076926
2021-12-03,1.00383414670501,0.677130295010954,-6.68899208202592,-54.6988021227477,-53.255236853831,-1.44356526891665,48.5,-101.631355089173,-94.7453855954834,114.123784683293,-99.1338822530355,0.0485121249788168,0.187944718753958,0.0317318435786002,0.102359305028762,0.439149135678619,0.122307981567798,2.509885331851052,3.264123473922612
2021-12-04,1.00973509441665,2.773305206072,-7.54684915123227,-86.2684229829981,-76.8923029190468,-9.3761200639513,6.91666666666667,-108.350432813384,-0.0181490043488282,116.372325540808,-98.9192969467947,0.0638449421954731,0.219338676011889,0.0812813323288481,0.0818629456958729,0.527745709971823,0.167225923136783,2.5119567498448623,3.266362608742155
2021-12-05,1.01520205616691,3.03743448440945,-7.51320769753789,-86.0777526303526,-73.4490755810839,-12.6286770492687,7.77777777777778,-112.324257356469,-0.0181490043488282,115.626263732012,-81.4171019038124,0.107002611169479,0.0865698976781966,0.0877531332263381,-0.153699863031837,0.293243736544562,0.0241835847333451,2.5130733213218246,3.26690098159847
2021-12-06,1.02023113602549,2.64124056690328,-7.5132076975379,-86.1657543315736,-72.7898420701337,-13.3759122614399,7.88888888888889,-113.024173177452,-0.0181490043488282,114.993567097601,-81.4239597758849,0.132868947157195,0.108253738457286,0.0918304475687626,-0.143084476326786,0.309988920253135,0.040583790864258,2.512728433425629,3.266424602281394
